State,City,,Population1,"Violent
,DES MOINES,2014,"208,250",584,3,51,,124,406,"3,879",821,"2,658",400,12,,,
,,2015,,806,8,62,,117,619,"3,995",889,"2,655",451,21,,,
KANSAS,KANSAS CITY,2014,"149,103",494,13,113,,108,260,"3,386",793,"2,134",459,21,,,
,,2015,,558,12,144,,136,266,"3,386",641,"2,312",433,23,,,
,OVERLAND PARK,2014,"183,108",137,5,44,,12,76,"1,508",173,"1,070",265,6,,,
,,2015,,192,2,87,,20,83,"1,708",206,"1,230",272,10,,,
,TOPEKA,2014,"127,673",303,4,27,,86,186,"2,872",441,"2,168",263,4,,,
,,2015,,325,3,40,,99,183,"3,183",580,"2,324",279,3,,,
,WICHITA,2014,"387,493","1,497",13,129,,258,"1,097","9,482","1,639","6,756","1,087",45,,,
,,2015,,"1,764",11,155,,322,"1,276","8,564","1,524","6,175",865,48,,,
KENTUCKY,LEXINGTON,2014,"311,848",514,11,73,,258,172,"5,757","1,181","4,123",453,24,,,
,,2015,,490,9,81,,229,171,"5,727","1,203","4,010",514,22,,,
,LOUISVILLE METRO9,2014,"678,513","1,904",27,96,,669,"1,112","13,054","2,857","9,212",985,82,,,
,,2015,,"2,048",41,93,,705,"1,209","13,135","2,909","8,885","1,341",,,,
LOUISIANA,BATON ROUGE,2014,"229,387","1,078",27,34,,426,591,"5,045","1,380","3,406",259,78,,,
,,2015,,967,27,47,,393,500,"4,692","1,136","3,313",243,65,,,
,LAFAYETTE,2014,"125,122",390,1,4,,113,272,"3,526",613,"2,676",237,35,,,
,,2015,,329,6,11,,72,240,"3,224",473,"2,532",219,17,,,
,NEW ORLEANS,2014,"387,113","1,869",71,98,,713,987,"7,901","1,636","5,056","1,209",,,,
,,2015,,"1,652",92,152,,622,786,"7,304","1,362","4,773","1,169",15,,,
,SHREVEPORT,2014,"200,184",716,9,65,,189,453,"4,398",946,"3,201",251,27,,,
,,2015,,793,10,74,,218,491,"4,960","1,052","3,637",271,26,,,
MARYLAND,BALTIMORE,2014,"623,513","3,989",99,,129,"1,641","2,120","14,003","3,215","8,511","2,277",102,,,
,,2015,,"4,224",144,140,,"1,826","2,114","14,194","3,577","8,205","2,412",132,,,
MASSACHUSETTS,CAMBRIDGE,2014,"108,201",146,1,11,,36,98,"1,090",125,907,58,0,,,
,,2015,,151,1,14,,42,94,"1,236",188,994,54,2,,,
,LOWELL,2014,"109,729",262,1,17,,74,170,"1,267",314,797,156,12,,,
,,2015,,227,0,10,,65,152,"1,083",221,776,86,7,,,
,SPRINGFIELD,2014,"153,766",777,6,51,,261,459,"2,688",779,"1,616",293,26,,,
,,2015,,837,13,43,,247,534,"2,350",573,"1,501",276,18,,,
,WORCESTER,2014,"183,248",814,4,7,,175,628,"2,570",660,"1,740",170,1,,,
,,2015,,770,4,4,,189,573,"2,316",491,"1,640",185,2,,,
MICHIGAN,ANN ARBOR,2014,"117,768",94,0,29,,9,56,"1,010",156,792,62,4,,,
,,2015,,96,0,26,,13,57,"1,043",95,912,36,3,,,
,DETROIT,2014,"684,694","6,292",135,284,,"1,589","4,284","15,748","4,390","6,629","4,729",235,,,
,,2015,,"5,711",107,234,,"1,128","4,242","13,515","3,329","6,810","3,376",420,,,
,GRAND RAPIDS10,2014,"193,385",623,3,31,,198,391,"2,388",584,"1,683",121,25,,,
,,2015,,618,5,57,,153,403,,438,"1,515",,24,,,
,LANSING,2014,"113,901",537,5,38,,109,385,"1,550",436,956,158,11,,,
,,2015,,469,4,39,,82,344,"1,347",335,883,129,7,,,
,STERLING HEIGHTS,2014,"131,604",101,0,16,,13,72,981,130,778,73,7,,,
,,2015,,94,2,20,,7,65,828,75,688,65,4,,,
,WARREN,2014,"135,080",288,3,39,,62,184,"1,563",340,993,230,8,,,
,,2015,,364,2,55,,59,248,"1,427",291,867,269,10,,,
MISSISSIPPI,JACKSON,2014,"172,376",710,35,,61,313,301,"4,837","1,468","2,872",497,59,,,
,,2015,,745,27,,71,366,281,"4,117","1,115","2,504",498,,,,
MISSOURI,COLUMBIA,2014,"116,847",162,2,30,,43,87,"1,908",265,"1,565",78,6,,,
,,2015,,274,1,44,,66,163,"1,605",385,"1,135",85,5,,,
,INDEPENDENCE,2014,"117,321",223,1,25,,50,147,"3,182",505,"2,271",406,17,,,
,,2015,,216,1,28,,56,131,"2,922",409,"2,073",440,7,,,
,KANSAS CITY,2014,"468,417","2,735",35,191,,707,"1,802","10,823","2,524","6,336","1,963",111,,,
,,2015,,"2,987",36,162,,689,"2,100","9,709","2,247","5,697","1,765",69,,,
,SPRINGFIELD,2014,"165,280",942,5,136,,181,620,"5,719",864,"4,294",561,29,,,
,,2015,,"1,063",7,128,,212,716,"5,961",935,"4,438",588,30,,,
,ST. LOUIS,2014,"318,574","2,284",58,144,,594,"1,488","8,616","1,756","5,435","1,425",86,,,
,,2015,,"2,806",92,127,,832,"1,755","9,608","1,947","6,031","1,630",79,,,
MONTANA,BILLINGS,2014,"110,245",195,2,41,,28,124,"2,345",326,"1,758",261,3,,,
,,2015,,233,2,30,,40,161,"2,369",295,"1,662",412,6,,,
NEBRASKA,LINCOLN,2014,"271,208",445,4,,76,99,266,"4,212",628,"3,442",142,33,,,
,,2015,,471,0,,83,104,284,"4,226",625,"3,432",169,38,,,
NEVADA,HENDERSON,2014,"274,121",198,1,33,,69,95,"2,725",692,"1,788",245,11,,,
,,2015,,229,1,51,,83,94,"2,677",679,"1,731",267,7,,,
,NORTH LAS VEGAS,2014,"229,436",877,4,40,,223,610,"2,795","1,019","1,335",441,10,,,
,,2015,,995,5,45,,223,722,"2,614",897,"1,282",435,7,,,
,RENO,2014,"235,055",530,3,60,,141,326,"3,144",626,"2,180",338,7,,,
,,2015,,618,9,67,,145,397,"3,573",662,"2,460",451,3,,,
NEW HAMPSHIRE,MANCHESTER,2014,"110,571",342,3,25,,110,204,"1,855",357,"1,415",83,12,,,
,,2015,,320,2,37,,112,169,"2,098",360,"1,639",99,13,,,
NEW JERSEY,EDISON TOWNSHIP,2014,"101,965",46,0,,2,25,19,541,146,346,49,6,,,
,,2015,,46,0,1,,21,24,570,103,427,40,7,,,
,ELIZABETH,2014,"128,345",504,5,,13,281,205,"1,724",364,960,400,5,,,
,,2015,,484,8,23,,242,211,"1,744",325,"1,038",381,6,,,
,JERSEY CITY,2014,"260,005",621,13,,16,272,320,"1,983",441,"1,266",276,20,,,
,,2015,,636,8,51,,253,324,"1,898",390,"1,237",271,35,,,
,NEWARK,2014,"279,110","1,355",43,,21,891,400,"3,743",828,"1,824","1,091",21,,,
,,2015,,"1,401",42,43,,861,455,"3,696",800,"1,621","1,275",9,,,
,PATERSON,2014,"146,083",572,9,,9,286,268,"1,856",556,958,342,8,,,
,,2015,,465,7,18,,206,234,"1,853",616,905,332,4,,,
,WOODBRIDGE TOWNSHIP,2014,"100,969",53,0,,3,25,25,932,119,770,43,3,,,
,,2015,,46,0,0,,22,24,722,103,570,49,1,,,
NEW MEXICO,ALBUQUERQUE,2014,"558,874","2,367",12,,197,619,"1,539","15,064","3,095","10,248","1,721",46,,,
,,2015,,"2,691",23,,199,861,"1,608","15,853","2,903","10,755","2,195",46,,,
NEW YORK,AMHERST TOWN,2014,"118,860",64,1,5,,22,36,905,71,815,19,2,,,
,,2015,,56,0,7,,19,30,812,81,708,23,6,,,
,BUFFALO,2014,"258,419","1,507",19,76,,605,807,"5,876","1,435","3,941",500,,,,
,,2015,,"1,297",12,87,,457,741,"4,904","1,040","3,379",485,70,,,
,NEW YORK,2014,"8,473,938","24,191",146,"1,075",,"7,691","15,279","63,155","7,433","52,230","3,492",,,,
,,2015,,"23,225",164,"1,082",,"7,598","14,381","60,300","6,410","50,526","3,364",,,,
,ROCHESTER,2014,"210,347",776,19,93,,286,378,"3,874",826,"2,746",302,50,,,
,,2015,,853,15,65,,287,486,"3,575",696,"2,502",377,44,,,
,SYRACUSE,2014,"144,534",526,6,33,,164,323,"2,682",665,"1,890",127,24,,,
,,2015,,528,8,34,,191,295,"2,361",530,"1,690",141,19,,,
,YONKERS,2014,"200,624",475,2,10,,152,311,928,190,652,86,10,,,
,,2015,,447,3,23,,161,260,980,194,644,142,6,,,
NORTH CAROLINA,CARY,2014,"154,978",55,3,,5,18,29,827,164,642,21,4,,,
,,2015,,31,2,,4,9,16,919,169,718,32,2,,,
,DURHAM,2014,"249,738",923,9,,34,299,581,"5,187","1,729","3,162",296,9,,,
,,2015,,"1,069",15,,29,360,665,"5,377","1,670","3,395",312,16,,,
,GREENSBORO,2014,"282,203",619,6,,28,209,376,"5,016","1,260","3,523",233,61,,,
,,2015,,739,11,,35,217,476,"4,812","1,068","3,505",239,52,,,
,HIGH POINT,2014,"108,540",236,3,,12,64,157,"1,873",510,"1,255",108,13,,,
,,2015,,309,2,,18,99,190,"1,683",333,"1,230",120,6,,,
,WILMINGTON,2014,"113,418",367,5,,17,112,233,"2,362",645,"1,565",152,12,,,
,,2015,,389,4,,29,127,229,"2,441",627,"1,655",159,4,,,
NORTH DAKOTA,FARGO,2014,"115,686",187,3,39,,30,115,"1,303",210,"1,014",79,6,,,
,,2015,,169,3,21,,21,124,"1,528",318,"1,095",115,4,,,
OHIO9,AKRON,2014,"197,891",679,8,89,,176,406,"4,007","1,234","2,536",237,30,,,
,,2015,,597,11,77,,200,309,"3,858","1,111","2,450",297,38,,,
,CINCINNATI,2014,"297,671","1,258",39,114,,634,471,"7,663","2,269","4,874",520,158,,,
,,2015,,"1,287",38,99,,601,549,"7,606","1,979","5,126",501,233,,,
,CLEVELAND,2014,"388,655","2,499",26,266,,"1,408",799,"9,537","3,113","4,687","1,737",138,,,
,,2015,,"2,390",37,215,,"1,286",852,"8,537","2,411","4,509","1,617",126,,,
,COLUMBUS,2014,"830,811","2,336",49,394,,"1,035",858,"16,327","4,073","10,848","1,406",277,,,
,,2015,,"2,237",37,346,,"1,085",769,"15,537","3,346","10,678","1,513",,,,
,DAYTON,2014,"143,217",619,17,74,,267,261,"3,586","1,166","2,160",260,32,,,
,,2015,,650,10,70,,230,340,"3,187","1,095","1,815",277,53,,,
,"TOLEDO8, 11",2014,"281,150","1,390",11,113,,414,852,,"2,142",,425,,,,
,,2015,,"1,444",5,116,,431,892,"5,668","1,769","3,497",402,,,,
OKLAHOMA,BROKEN ARROW,2014,"104,592",64,0,12,,26,26,754,157,552,45,7,,,
,,2015,,74,0,21,,19,34,897,168,649,80,2,,,
,OKLAHOMA CITY,2014,"617,975","2,354",20,196,,522,"1,616","13,332","3,146","8,375","1,811",42,,,
,,2015,,"2,399",30,242,,544,"1,583","11,795","2,796","7,554","1,445",47,,,
,TULSA,2014,"399,556","1,590",18,176,,428,968,"9,844","2,619","6,059","1,166",68,,,
,,2015,,"1,658",27,160,,410,"1,061","9,445","2,473","5,811","1,161",80,,,
OREGON,EUGENE,2014,"159,882",287,1,42,,84,160,"3,252",539,"2,427",286,15,,,
,,2015,,244,0,36,,76,132,"2,950",518,"2,209",223,18,,,
,SALEM,2014,"162,028",261,0,29,,51,181,"3,411",444,"2,639",328,14,,,
,,2015,,245,2,16,,49,178,"3,317",335,"2,654",328,13,,,
PENNSYLVANIA,ALLENTOWN,2014,"118,710",269,4,34,,130,101,"1,887",478,"1,269",140,4,,,
,,2015,,231,4,24,,113,90,"1,389",282,"1,019",88,11,,,
,ERIE,2014,"100,403",177,3,24,,47,103,"1,204",326,844,34,13,,,
,,2015,,218,3,25,,59,131,"1,207",292,856,59,14,,,
,PHILADELPHIA,2014,"1,559,062","7,661",115,577,,"3,294","3,675","24,285","4,566","17,078","2,641",197,,,
,,2015,,"7,648",115,679,,"3,113","3,741","23,292","3,936","16,915","2,441",152,,,
RHODE ISLAND,PROVIDENCE,2014,"178,640",421,7,45,,133,236,"3,090",671,"2,011",408,15,,,
,,2015,,475,6,57,,128,284,"2,676",525,"1,894",257,12,,,
SOUTH CAROLINA,CHARLESTON,2014,"129,867",135,5,13,,40,77,"1,473",181,"1,217",75,2,,,
,,2015,,169,5,25,,42,97,"1,475",225,"1,140",110,1,,,
,NORTH CHARLESTON,2014,"105,594",364,8,43,,101,212,"2,762",379,"2,136",247,5,,,
,,2015,,367,3,46,,103,215,"2,509",340,"1,938",231,5,,,
SOUTH DAKOTA,SIOUX FALLS,2014,"167,339",395,2,78,,48,267,"2,309",402,"1,778",129,12,,,
,,2015,,344,1,57,,21,265,"2,542",462,"1,921",159,17,,,
TENNESSEE,CHATTANOOGA,2014,"174,449",883,17,60,,182,624,"5,503",991,"3,999",513,6,,,
,,2015,,818,9,42,,132,635,"5,160",895,"3,833",432,8,,,
,CLARKSVILLE,2014,"144,639",438,6,36,,54,342,"2,071",471,"1,509",91,14,,,
,,2015,,414,6,29,,39,340,"1,878",317,"1,485",76,9,,,
,KNOXVILLE,2014,"184,362",789,7,63,,194,525,"5,993",982,"4,614",397,6,,,
,,2015,,897,9,104,,209,575,"5,438",865,"4,188",385,8,,,
,MEMPHIS,2014,"654,922","5,633",65,269,,"1,553","3,746","18,200","5,148","11,709","1,343",151,,,
,,2015,,"5,517",64,241,,"1,400","3,812","17,445","4,720","11,535","1,190",134,,,
,MURFREESBORO,2014,"119,005",280,6,27,,55,192,"1,921",332,"1,500",89,2,,,
,,2015,,325,2,28,,73,222,"1,944",440,"1,429",75,6,,,
,NASHVILLE,2014,"647,689","3,489",20,258,,642,"2,569","11,209","2,321","8,396",492,51,,,
,,2015,,"3,253",24,240,,756,"2,233","11,281","2,249","8,368",664,21,,,
TEXAS,ABILENE,2014,"120,686",262,3,,49,58,152,"2,471",437,"1,894",140,18,,,
,,2015,,336,6,38,,64,228,"2,805",609,"2,003",193,12,,,
,AMARILLO,2014,"197,724",688,3,133,,144,408,"4,464",892,"3,142",430,15,,,
,,2015,,651,3,116,,137,395,"4,377",892,"3,111",374,13,,,
,ARLINGTON,2014,"382,976",907,6,,102,241,558,"6,455","1,207","4,798",450,21,,,
,,2015,,"1,021",4,169,,248,600,"6,679","1,098","5,169",412,19,,,
,BEAUMONT,2014,"117,898",522,8,,44,144,326,"2,799",763,"1,923",113,19,,,
,,2015,,572,11,45,,162,354,"2,250",570,"1,582",98,18,,,
,BROWNSVILLE ,2014,"183,433",273,3,,42,67,161,"3,604",475,"3,048",81,7,,,
,,2015,,239,1,24,,76,138,"3,700",501,"3,124",75,9,,,
,CARROLLTON,2014,"128,577",91,1,,1,25,64,"1,312",257,935,120,5,,,
,,2015,,76,1,4,,28,43,"1,380",229,"1,024",127,0,,,
,COLLEGE STATION,2014,"101,483",85,0,13,,21,51,"1,158",292,833,33,0,,,
,,2015,,109,2,31,,20,56,"1,119",182,894,43,0,,,
,CORPUS CHRISTI,2014,"319,211",976,12,,144,184,636,"7,186","1,185","5,757",244,31,,,
,,2015,,"1,039",12,155,,205,667,"5,339",945,"4,133",261,28,,,
,DALLAS,2014,"1,272,396","3,941",53,,384,"1,781","1,723","21,979","5,567","13,100","3,312",180,,,
,,2015,,"4,342",69,405,,"2,008","1,860","21,508","5,095","12,778","3,635",196,,,
,DENTON,2014,"125,248",189,0,64,,31,94,"1,325",201,"1,065",59,0,,,
,,2015,,211,2,50,,34,125,"1,366",170,"1,121",75,0,,,
,EL PASO,2014,"680,273","1,396",7,,183,227,979,"7,345",837,"6,106",402,26,,,
,,2015,,"1,204",8,153,,192,851,"6,240",646,"5,233",361,38,,,
,FORT WORTH,2014,"804,907","2,243",30,272,,580,"1,361","15,642","3,642","10,867","1,133",80,,,
,,2015,,"2,208",25,281,,481,"1,421","14,916","2,964","10,823","1,129",60,,,
,FRISCO,2014,"141,940",57,1,10,,6,40,"1,226",219,974,33,6,,,
,,2015,,49,1,12,,14,22,"1,088",178,885,25,1,,,
,GRAND PRAIRIE,2014,"185,273",249,1,,46,93,109,"2,440",463,"1,651",326,6,,,
,,2015,,277,1,65,,58,153,"1,962",349,"1,381",232,11,,,
,HOUSTON,2014,"2,219,933","10,401",100,,416,"4,717","5,168","52,686","10,826","34,814","7,046",341,,,
,,2015,,"10,216",144,374,,"4,777","4,921","48,909","9,597","32,644","6,668",332,,,
,IRVING,2014,"231,708",271,2,,19,81,169,"3,142",562,"2,297",283,13,,,
,,2015,,216,6,15,,83,112,"2,914",507,"2,132",275,10,,,
,LAREDO,2014,"250,994",518,9,,40,95,374,"5,079",668,"4,260",151,51,,,
,,2015,,491,4,64,,69,354,"4,291",532,"3,599",160,43,,,
,LEWISVILLE,2014,"102,439",98,0,18,,25,55,"1,257",214,897,146,1,,,
,,2015,,115,1,25,,27,62,"1,109",157,849,103,2,,,
,LUBBOCK,2014,"241,826",930,5,,56,132,737,"5,084","1,059","3,648",377,28,,,
,,2015,,"1,104",8,90,,167,839,"5,785","1,231","4,138",416,19,,,
,MCKINNEY,2014,"152,806",110,2,16,,27,65,"1,357",192,"1,090",75,6,,,
,,2015,,138,2,26,,27,83,"1,241",136,"1,049",56,6,,,
,MESQUITE,2014,"144,396",226,1,,29,85,111,"2,646",566,"1,701",379,5,,,
,,2015,,215,3,22,,99,91,"2,876",553,"1,910",413,2,,,
,ODESSA,2014,"113,619",496,4,,28,72,392,"1,953",333,"1,391",229,5,,,
,,2015,,589,6,32,,79,472,"2,270",383,"1,618",269,13,,,
,PASADENA,2014,"153,540",300,4,,41,82,173,"2,407",397,"1,743",267,7,,,
,,2015,,292,1,38,,81,172,"2,203",351,"1,540",312,25,,,
,PEARLAND,2014,"102,516",72,1,19,,11,41,927,121,777,29,3,,,
,,2015,,80,1,26,,19,34,"1,088",177,871,40,2,,,
,PLANO,2014,"277,822",249,2,47,,81,119,"2,674",345,"2,184",145,13,,,
,,2015,,223,3,46,,64,110,"2,382",343,"1,921",118,8,,,
,RICHARDSON,2014,"105,744",90,1,,12,38,39,"1,199",167,960,72,4,,,
,,2015,,76,0,13,,26,37,"1,092",192,825,75,1,,,
,ROUND ROCK,2014,"112,199",57,0,,12,20,25,"1,031",111,900,20,5,,,
,,2015,,71,1,15,,18,37,"1,062",98,943,21,2,,,
,SAN ANTONIO,2014,"1,428,465","3,757",43,,518,885,"2,311","38,179","6,230","28,292","3,657",139,,,
,,2015,,"4,005",51,509,,915,"2,530","35,261","5,576","26,572","3,113",119,,,
,TYLER6,2014,"100,969",,,,,,,,,,,,,,
,,2015,,214,5,27,,38,144,"1,889",320,"1,485",84,0,,,
,WICHITA FALLS,2014,"104,949",203,2,,43,51,107,"2,030",450,"1,459",121,0,,,
,,2015,,200,1,48,,54,97,"2,058",456,"1,527",75,0,,,
UTAH,PROVO6,2014,"117,158",,,,,,,,,,,,,,
,,2015,,80,0,34,,10,36,"1,075",100,907,68,1,,,
,SALT LAKE CITY,2014,"192,368",666,1,113,,193,359,"7,355",730,"5,807",818,46,,,
,,2015,,734,3,123,,211,397,"8,341",995,"6,309","1,037",20,,,
,WEST VALLEY6,2014,"134,590",,,,,,,,,,,,,,
,,2015,,371,1,57,,71,242,"2,755",381,"1,942",432,9,,,
VIRGINIA,ALEXANDRIA,2014,"151,065",133,2,9,,77,45,"1,424",102,"1,185",137,8,,,
,,2015,,131,0,11,,53,67,"1,325",112,"1,112",101,1,,,
,CHESAPEAKE,2014,"232,489",472,4,34,,82,352,"3,103",572,"2,410",121,11,,,
,,2015,,476,6,28,,81,361,"2,754",458,"2,138",158,13,,,
,HAMPTON,2014,"136,590",168,5,21,,50,92,"2,064",255,"1,706",103,14,,,
,,2015,,154,7,15,,71,61,"1,947",288,"1,515",144,13,,,
,NEWPORT NEWS ,2014,"182,374",363,11,36,,94,222,"2,750",481,"2,098",171,33,,,
,,2015,,338,17,30,,98,193,"2,461",436,"1,864",161,24,,,
,NORFOLK,2014,"247,078",572,19,52,,158,343,"4,516",600,"3,694",222,13,,,
,,2015,,606,7,46,,199,354,"4,072",516,"3,413",143,13,,,
,RICHMOND,2014,"216,747",604,23,12,,264,305,"4,003",840,"2,830",333,26,,,
,,2015,,517,16,12,,234,255,"3,567",672,"2,577",318,32,,,
,VIRGINIA BEACH,2014,"451,102",327,12,55,,123,137,"4,720",541,"4,015",164,33,,,
,,2015,,305,12,36,,128,129,"4,582",508,"3,878",196,44,,,
WASHINGTON,BELLEVUE9,2014,"135,449",74,1,,17,34,22,"2,281",296,"1,849",136,6,,,
,,2015,,60,2,10,,23,25,"2,056",310,"1,622",124,8,,,
,EVERETT,2014,"105,911",192,2,,18,73,99,"3,505",616,"2,352",537,13,,,
,,2015,,191,4,,19,65,103,"3,040",477,"2,156",407,20,,,
,KENT,2014,"125,837",171,0,33,,65,73,"3,058",445,"2,126",487,10,,,
,,2015,,146,3,22,,62,59,"2,841",429,"1,949",463,11,,,
,SEATTLE,2014,"663,410","1,950",13,79,,755,"1,103","20,475","3,466","14,102","2,907",40,,,
,,2015,,"1,961",9,65,,766,"1,121","17,919","3,597","12,348","1,974",34,,,
,SPOKANE,2014,"211,025",582,5,,52,229,296,"9,004","1,625","6,259","1,120",28,,,
,,2015,,538,5,,51,170,312,"7,592","1,400","5,379",813,24,,,
,TACOMA,2014,"204,722",745,7,75,,224,439,"6,008","1,502","3,658",848,31,,,
,,2015,,749,4,57,,229,459,"6,119","1,185","4,013",921,26,,,
,VANCOUVER,2014,"168,688",269,4,41,,74,150,"2,625",393,"1,810",422,27,,,
,,2015,,318,0,43,,55,220,"2,577",408,"1,819",350,26,,,
WISCONSIN,GREEN BAY,2014,"104,979",256,3,26,,32,195,"1,074",184,848,42,5,,,
,,2015,,211,1,24,,22,164,"1,018",180,793,45,5,,,
,KENOSHA,2014,"100,025",147,4,,10,51,82,"1,045",251,744,50,9,,,
,,2015,,127,2,,26,50,49,920,152,714,54,2,,,
,MADISON,2014,"245,788",400,3,42,,101,254,"3,135",448,"2,572",115,4,,,
,,2015,,414,3,48,,99,264,"3,121",544,"2,475",102,4,,,
,MILWAUKEE,2014,"600,374","3,957",36,192,,"1,551","2,178","12,303","2,416","6,966","2,921",110,,,
,,2015,,"3,921",75,168,,"1,501","2,177","11,197","2,439","5,798","2,960",99,,,
